60181,17
33714,12
79045,48
18951,42
78380,48
2364,25
99515,2
55429,27
33071,12
55443,27
70433,22
7430,34
60130,17
72211,5
57107,46
7506,34
47304,18
13605,36
25705,54
29910,45
75402,48
10606,36
32244,12
28379,37
27215,37
87402,35
58503,38
77546,48
28213,37
45249,39
92262,6
27834,37
62526,17
48195,26
48126,26
72117,5
60642,17
79521,48
78216,48
44011,39
75633,48
38671,28
49202,26
68803,31
76051,48
63132,29
7083,34
71303,22
36460,1
19720,10
74133,40
70433,22
18091,42
37421,47
46375,18
8753,34
42104,21
94520,6
2879,44
2767,25
37919,47
37601,47
72908,5
43560,39
38901,28
94952,6
22601,51
23847,51
58701,38
72901,5
80401,8
64055,29
49426,26
6512,9
87102,35
19149,42
49423,26
46168,18
59808,30
85206,4
64118,29
19605,42
67209,20
13850,36
4901,23
59501,30
73505,40
45251,39
61554,17
14701,36
30117,13
76116,48
75801,48
92618,6
12095,36
8234,34
55313,27
95212,6
13206,36
44312,39
34613,12
92008,6
49316,26
35055,1
6320,9
36526,1
19462,42
38606,28
14424,36
15205,42
35045,1
47025,18
80104,8
46310,18
48413,26
60139,17
2339,25
17104,42
73018,40
31788,13
59270,30
16915,42
21009,24
36801,1
46240,18
94591,6
46239,18
91204,6
48867,26
7073,34
33304,12
32055,12
95023,6
75075,48
21061,24
19522,42
43017,39
41042,21
37312,47
52807,19
95825,6
37013,47
17901,42
46902,18
44270,39
34207,12
95136,6
43160,39
20176,51
44483,39
75109,48
34239,12
19958,10
14895,36
87110,35
61833,17
23231,51
33841,12
96732,15
79106,48
60487,17
19053,42
75087,48
54806,55
31210,13
49866,26
93612,6
95212,6
21014,24
22408,51
79412,48
30260,13
60181,17
74820,40
29577,45
53913,55
55066,27
72404,5
21042,24
7424,34
54868,55
73134,40
49201,26
44092,39
35816,1
7828,34
54017,55
68847,31
28147,37
27932,37
61025,17
62711,17
43311,39
17745,42
57042,46
47715,18
45807,39
11780,36
62901,17
1905,25
52233,19
92394,6
58701,38
8054,34
57078,46
59701,30
53581,55
71322,22
48176,26
62305,17
83651,16
75901,48
34103,12
45213,39
48706,26
19973,10
84120,49
27612,37
23320,51
70510,22
54409,55
55362,27
77074,48
77904,48
73134,40
20186,51
53589,55
76691,48
76543,48
75041,48
28314,37
32536,12
47112,18
55374,27
70737,22
98004,53
39208,28
15301,42
6902,9
34103,12
56425,27
84790,49
80640,8
57701,46
45459,39
11801,36
17050,42
6517,9
7054,34
34474,12
46140,18
14626,36
42025,21
76712,48
31904,13
1930,25
75228,48
11362,36
33928,12
31525,13
44115,39
63368,29
20877,24
72501,5
55792,27
31021,13
2817,44
38115,47
44425,39
77007,48
30907,13
57702,46
89801,32
17268,42
19977,10
34731,12
65401,29
33763,12
16063,42
54302,55
44024,39
71111,22
30012,13
33559,12
64014,29
49009,26
48640,26
41701,21
64079,29
21030,24
77079,48
7712,34
32506,12
90505,6
61822,17
38401,47
53718,55
63132,29
28110,37
61264,17
21204,24
30291,13
89048,32
86301,4
57301,46
48910,26
44011,39
48220,26
15717,42
48609,26
40505,21
21851,24
50613,19
49221,26
15122,42
41501,21
44224,39
14094,36
14625,36
73521,40
80504,8
82001,56
14623,36
16354,42
76134,48
93436,6
55901,27
34668,12
45840,39
7054,34
45373,39
85338,4
35216,1
75067,48
57783,46
96813,15
33614,12
60540,17
48307,26
32809,12
44805,39
11530,36
31714,13
15601,42
32808,12
14225,36
75006,48
61920,17
78006,48
52732,19
35630,1
46219,18
88005,35
33138,12
75901,48
60030,17
53818,55
32609,12
48444,26
98390,53
21550,24
8857,34
43110,39
60534,17
8902,34
60430,17
23502,51
73644,40
5602,50
49770,26
73114,40
1089,25
35950,1
75115,48
61401,17
80538,8
70403,22
16002,42
23452,51
73114,40
15017,42
53094,55
77954,48
2043,25
18657,42
37303,47
64114,29
13142,36
91502,6
19806,10
61571,17
21921,24
91016,6
97401,41
18360,42
92108,6
2532,25
88310,35
45662,39
57350,46
79065,48
92504,6
49525,26
40031,21
30534,13
12020,36
27536,37
77566,48
75701,48
78041,48
71449,22
71446,22
30080,13
7054,34
72761,5
77002,48
93003,6
19512,42
36526,1
55371,27
15668,42
84302,49
76825,48
60062,17
34994,12
55033,27
79336,48
57077,46
48430,26
70003,22
61354,17
39170,28
78041,48
30096,13
11735,36
72450,5
6019,9
85621,4
16602,42
45242,39
49707,26
80909,8
7869,34
63857,29
38024,47
12205,36
11787,36
61614,17
83705,16
15857,42
12953,36
78648,48
85128,4
25880,54
85260,4
70560,22
17257,42
18702,42
60025,17
8094,34
80012,8
44320,39
7834,34
63110,29
20650,24
949,#N/A
26301,54
80221,8
91355,6
2038,25
70819,22
11375,36
46804,18
8807,34
94577,6
84770,49
23606,51
30052,13
91791,6
88210,35
44123,39
90755,6
68601,31
89104,32
45242,39
56320,27
85206,4
47905,18
51101,19
5478,50
43055,39
15801,42
90807,6
59106,30
77094,48
11746,36
70816,22
78249,48
30046,13
28078,37
13676,36
41240,21
50677,19
27828,37
62959,17
92110,6
56537,27
56601,27
80246,8
30101,13
74401,40
30114,13
33801,12
19153,42
20904,24
10507,36
8902,34
32216,12
32808,12
73134,40
79015,48
76206,48
75460,48
35630,1
30606,13
62278,17
84341,49
46947,18
92395,6
2914,44
42240,21
76028,48
17078,42
60010,17
46012,18
46368,18
32720,12
40744,21
38128,47
46755,18
33483,12
95356,6
55426,27
25401,54
71055,22
30035,13
45504,39
38655,28
78521,48
75601,48
48433,26
70510,22
32304,12
48532,26
28752,37
60548,17
56011,27
49079,26
18915,42
53901,55
75070,48
60616,17
92626,6
52627,19
77864,48
65265,29
18360,42
23434,51
97459,41
33901,12
1923,25
53092,55
33064,12
80538,8
48912,26
14623,36
37203,47
90810,6
16127,42
28806,37
54656,55
78852,48
47334,18
66048,20
58075,38
48202,26
32505,12
54143,55
33040,12
61554,17
38133,47
77591,48
83401,16
34667,12
10467,36
28027,37
37067,47
37067,47
93534,6
72032,5
74601,40
68154,31
49228,26
28697,37
37922,47
42066,21
30080,13
39211,28
64804,29
31419,13
29102,45
93060,6
48603,26
70458,22
33544,12
71052,22
21921,24
49783,26
79007,48
22980,51
7054,34
58301,38
37912,47
60515,17
82901,56
57501,46
40218,21
44906,39
66032,20
7461,34
44122,39
48616,26
43213,39
48170,26
62040,17
18974,42
77627,48
65270,29
54449,55
73662,40
76710,48
29607,45
80905,8
28304,37
28358,37
18064,42
85284,4
43044,39
43551,39
22302,51
70125,22
78064,48
33309,12
55355,27
1801,25
55435,27
77414,48
73044,40
97424,41
48759,26
48746,26
32926,12
16501,42
61738,17
70126,22
32086,12
21224,24
92203,6
20852,24
68127,31
36081,1
43050,39
60970,17
91950,6
29072,45
37620,47
61704,17
54981,55
76528,48
1756,25
37408,47
76657,48
28273,37
95327,6
49461,26
36117,1
95380,6
26101,54
59405,30
7860,34
33014,12
21157,24
62095,17
35203,1
30350,13
36784,1
12414,36
95020,6
34239,12
30009,13
28387,37
17815,42
46151,18
94087,6
49601,26
